pressure height temperature dewpoint rh mixingratio direction sknt thta thte thtv
1018.0 20 8.6 7.8 95 6.56 0 0 280.3 298.4 281.4
1007.0 112 13.7 11.0 83 8.23 35 2 286.3 309.4 287.7
1000.0 171 17.0 13.0 77 9.49 30 4 290.1 317.1 291.8
987.0 283 17.4 12.7 74 9.43 43 3 291.6 318.6 293.3
985.0 300 17.3 12.3 72 9.2 45 3 291.8 318.1 293.4
976.0 378 17.1 10.4 65 8.2 315 4 292.2 315.9 293.7
951.0 599 16.4 5.3 48 5.89 275 2 293.7 311.0 294.7
946.0 644 16.2 4.2 45 5.49 290 2 294.0 310.2 294.9
927.0 817 17.1 -6.7 19 2.52 350 4 296.6 304.4 297.1
925.0 835 17.2 -7.8 17 2.31 355 4 296.9 304.1 297.3
918.0 900 17.2 -17.3 8 1.08 15 7 297.5 301.1 297.7
914.0 937 17.2 -22.8 5 0.67 21 8 297.9 300.2 298.0
903.0 1040 17.6 -8.4 16 2.26 36 10 299.4 306.5 299.8
876.0 1298 15.5 3.4 44 5.61 75 16 299.8 316.8 300.8
872.0 1337 15.2 5.2 51 6.4 71 17 299.9 319.1 301.0
866.0 1395 14.8 2.9 45 5.49 65 19 300.1 316.7 301.1
850.0 1553 13.8 -3.2 31 3.57 65 17 300.6 311.7 301.2
836.0 1693 14.6 -16.4 10 1.28 74 15 302.9 307.1 303.1
835.0 1703 14.5 -16.6 10 1.25 75 15 302.9 307.1 303.1
796.0 2103 11.9 -25.4 6 0.61 45 7 304.3 306.4 304.4
784.0 2230 11.1 -28.2 5 0.48 25 10 304.7 306.4 304.8
774.0 2337 10.4 -30.6 4 0.39 34 10 305.1 306.5 305.2
762.0 2467 10.2 -33.8 3 0.29 44 10 306.2 307.3 306.3
733.0 2787 8.4 -30.8 4 0.4 70 10 307.6 309.1 307.7
704.0 3119 6.5 -27.7 7 0.56 25 11 309.1 311.1 309.2
703.0 3131 6.4 -27.6 7 0.57 26 11 309.2 311.2 309.3
700.0 3166 6.0 -27.0 7 0.6 30 10 309.1 311.2 309.2
657.0 3679 2.8 -37.4 3 0.24 75 13 311.2 312.1 311.2
641.0 3879 1.6 -41.4 2 0.16 70 13 312.0 312.6 312.0
623.0 4107 -0.2 -30.7 8 0.48 65 13 312.5 314.2 312.6
618.0 4171 -0.7 -27.7 11 0.64 65 14 312.6 314.9 312.7
616.0 4197 -0.9 -28.1 11 0.62 65 14 312.7 314.9 312.8
597.0 4445 -2.8 -31.4 9 0.47 50 13 313.3 315.0 313.3
590.0 4538 -3.5 -32.7 8 0.42 60 13 313.5 315.0 313.6
579.0 4687 -4.7 -34.7 8 0.35 49 13 313.8 315.1 313.9
565.0 4878 -6.2 -31.2 12 0.5 35 13 314.3 316.1 314.4
562.0 4920 -6.5 -30.5 13 0.54 39 13 314.4 316.4 314.5
546.0 5144 -7.9 -37.9 7 0.27 58 15 315.3 316.3 315.4
540.0 5229 -8.6 -36.6 8 0.31 65 15 315.5 316.7 315.6
500.0 5820 -13.3 -27.3 30 0.82 50 16 316.8 319.7 316.9
490.0 5974 -14.1 -32.1 20 0.53 46 18 317.6 319.6 317.7
488.0 6005 -14.3 -33.0 19 0.49 45 18 317.7 319.6 317.8
453.0 6568 -17.9 -48.9 5 0.1 71 16 320.1 320.5 320.1
435.0 6870 -20.0 -46.0 8 0.14 85 15 321.1 321.7 321.1
421.0 7114 -21.7 -43.7 12 0.19 68 13 322.0 322.7 322.0
406.0 7381 -23.5 -49.7 7 0.1 50 11 322.9 323.4 323.0
403.0 7435 -23.9 -50.9 6 0.09 52 11 323.1 323.5 323.2
400.0 7490 -24.3 -49.3 8 0.11 55 10 323.3 323.8 323.3
395.0 7581 -25.1 -48.5 9 0.12 65 9 323.4 323.9 323.4
390.0 7673 -25.9 -47.7 11 0.13 40 11 323.5 324.1 323.6
376.0 7936 -28.3 -45.3 18 0.18 70 10 323.8 324.5 323.8
339.0 8666 -34.0 -47.2 25 0.16 155 6 325.7 326.4 325.7
329.0 8876 -35.7 -47.7 28 0.16 212 4 326.2 326.9 326.3
326.0 8940 -36.1 -49.4 24 0.13 230 3 326.5 327.1 326.6
320.0 9068 -36.9 -52.9 17 0.09 217 3 327.2 327.5 327.2
317.0 9133 -37.5 -52.9 18 0.09 210 3 327.3 327.6 327.3
304.0 9419 -39.9 -52.7 24 0.09 255 6 327.7 328.1 327.8
300.0 9510 -40.7 -52.7 26 0.1 250 7 327.9 328.3 327.9
299.0 9533 -40.9 -52.9 26 0.09 248 7 327.9 328.3 327.9
297.0 9579 -41.5 -53.5 26 0.09 243 7 327.7 328.1 327.7
287.0 9810 -43.5 -54.5 28 0.08 220 7 328.1 328.5 328.1
276.0 10073 -45.7 -55.7 31 0.07 259 5 328.6 328.9 328.6
