pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1012	20	23	20.7	87	15.44	0	0	295.1	339.6	297.9
1000	127	22	18.2	79	13.33	225	15	295.1	333.6	297.5
997	153	22.2	18.3	79	13.45	227	16	295.6	334.5	298
980	304	24.2	16.9	64	12.49	240	25	299.1	335.8	301.4
972	375	25.2	16.2	57	12.06	247	30	300.8	336.5	303
968	412	24.9	15.9	57	11.9	250	33	300.9	336.1	303
963	457	24.6	15.6	57	11.7	250	33	301	335.7	303.1
957	512	24.3	16.1	60	12.16	250	32	301.2	337.2	303.4
947	604	23.7	16.9	66	12.96	260	32	301.5	340	303.9
941	659	23.4	17.4	69	13.47	262	32	301.8	341.7	304.2
934	725	23	17	69	13.19	265	32	301.9	341.1	304.3
925	809	22.4	16.4	69	12.84	260	32	302.2	340.4	304.5
915	903	21.8	16.4	71	12.95	265	29	302.5	341.1	304.9
889	1153	20.1	16.2	78	13.22	265	30	303.3	342.8	305.7
865	1390	18.6	16.1	85	13.49	277	26	304.1	344.5	306.6
850	1540	18	14.4	79	12.28	285	23	305	341.9	307.2
842	1621	17.6	13.8	78	11.92	287	22	305.4	341.3	307.6
832	1723	16.8	13.4	80	11.73	290	21	305.6	341	307.7
811	1940	15.1	12.5	84	11.34	285	22	306	340.3	308.1
796	2099	13.8	11.8	88	11.06	285	23	306.3	339.8	308.3
791	2153	13.4	11.6	89	10.96	281	24	306.4	339.6	308.4
790	2163	13.4	11.6	89	10.94	280	24	306.5	339.7	308.5
784	2228	13.2	11.3	88	10.84	283	25	307	339.9	309
760	2489	12.2	9.6	84	9.96	295	28	308.6	339.1	310.4
752	2578	11.8	9	83	9.67	299	24	309.1	338.9	310.9
751	2589	11.7	8.9	83	9.64	300	24	309.2	338.8	311
741	2702	11	8.3	84	9.37	295	25	309.5	338.4	311.3
731	2815	10.2	7.7	84	9.1	300	25	309.9	338	311.6
720	2941	9.4	6.8	83	8.65	305	26	310.4	337.2	312
702	3151	8.1	5.2	82	7.95	315	22	311.2	336	312.7
700	3175	8	5	81	7.87	315	22	311.3	335.9	312.8
694	3246	7.6	4.8	83	7.82	315	25	311.6	336.1	313.1
686	3341	7	4.5	84	7.75	320	24	312	336.3	313.4
668	3560	5.6	3.8	88	7.59	315	24	312.8	336.7	314.3
665	3597	5.4	3.7	89	7.56	315	23	313	336.8	314.4
659	3671	4.9	3.1	88	7.33	315	20	313.3	336.4	314.6
650	3783	4.2	2.3	87	6.98	300	20	313.7	335.8	315
640	3910	3.4	1.3	86	6.61	305	22	314.2	335.2	315.4
631	4025	2.6	0.8	88	6.45	300	20	314.5	335.1	315.8
622	4141	1.8	0.2	89	6.28	310	19	314.9	335	316.1
617	4206	1.4	-0.4	88	6.07	310	18	315.1	334.5	316.3
