ol2591915.344486
CCNY     19/09/2025 15:33:45 19/09/2025 15:34:44 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
8.46798	5.66195	6.12621	0.0333056	5.46889	0	5.94715	0
8.62196	5.42881	6.16311	0.0333056	5.44872	0	5.94023	0
8.80564	4.72939	6.21393	0.166528	5.42407	0	5.92421	0
9.00468	6.42798	6.2818	0.0999167	5.38105	0	5.90745	0
9.14123	5.09575	6.33067	0.0999167	5.34472	0	5.89821	0
9.268	6.06162	6.36457	0.0999167	5.344	0	5.88291	0
9.42731	7.02748	6.39936	0.0666112	5.32128	0	5.87721	0
9.55861	6.89425	6.43999	0.0999167	5.28765	0	5.86751	0
9.68532	7.42714	6.49478	0.266445	5.27894	0	5.8601	0
9.82388	10.4246	6.54387	0.199833	5.27543	0.0333056	5.86122	0.199833
9.94303	10.025	6.58164	0.399667	5.27653	46.0949	5.83626	54.6545
10.0353	9.85845	6.62619	0.166528	9.62384	185.479	7.07819	191.74
10.1463	9.15903	6.66222	0.166528	53.1062	200.133	24.3038	202.198
10.2554	10.4246	6.69317	0.566195	137.271	198.501	63.6371	199.4
10.3526	9.42548	6.7462	0.366361	157.801	199.467	77.8137	200.1
10.4623	11.2573	6.79352	0.466278	127.067	198.501	63.1347	200.766
10.5509	11.557	6.82487	0.432973	125.503	199.967	60.6415	202.265
10.6223	10.6245	6.86251	0.266445	125.296	197.036	61.9378	201.699
10.7205	12.2565	6.90135	0.466278	112.653	200.233	55.9191	200.999
10.7923	12.5895	6.93566	0.632806	108.824	199.201	53.5855	202.431
10.8309	11.2906	6.97094	0.399667	105.179	200.333	52.558	200.6
10.8992	12.756	7.00043	0.532889	98.2423	198.268	49.1339	199.567
10.9795	12.4563	7.02863	0.566195	94.3508	201.332	47.0414	200.133
11.002	11.3905	7.06439	0.5995	90.5258	201.366	45.6312	198.035
11.0231	12.0899	7.08768	0.532889	85.6166	200.966	43.405	200.233
11.0614	13.1557	7.11539	0.865945	82.1343	199.634	41.6627	198.734
11.0706	11.3572	7.13932	0.865945	78.8982	197.369	40.3833	197.336
11.0926	11.7569	7.15303	0.532889	75.3678	198.168	38.7111	196.703
11.1045	12.0233	7.17283	0.732723	72.6087	199.9	37.2894	196.669
11.0869	11.2573	7.19069	0.666112	69.9608	201.765	36.2013	197.202
11.0732	12.0566	7.20091	0.566195	66.9988	199.8	34.8113	195.504
11.0616	12.8226	7.20986	0.699417	64.3004	200.433	33.5052	194.571
11.0317	10.4246	7.22203	0.666112	61.9215	199.634	32.4478	194.038
10.9868	12.2231	7.22419	0.832639	59.4688	195.437	31.4741	191.774
10.9403	10.6578	7.22381	0.699417	57.3115	198.801	30.5491	195.704
10.8989	10.8576	7.22555	0.432973	55.4539	198.734	29.5046	196.703
10.8426	10.4913	7.22032	0.532889	53.5787	195.67	28.6042	193.572
10.7719	9.85845	7.21677	0.5995	51.6332	197.502	27.8597	190.208
10.7069	9.82515	7.21332	0.499584	49.7717	195.404	27.1746	191.341
10.6349	8.85928	7.20335	0.732723	48.2222	194.938	26.4271	190.008
10.5589	8.82598	7.19405	0.532889	46.7997	194.671	25.623	189.076
10.4843	7.96003	7.18162	0.5995	45.2249	194.838	24.916	189.775
10.3965	8.22648	7.16297	0.399667	43.7026	195.903	24.2621	188.077
10.311	8.72606	7.15125	0.865945	42.3559	194.405	23.5308	188.177
10.2396	7.29392	7.13749	0.632806	41.016	194.371	22.906	188.177
10.1601	7.52706	7.113	0.432973	39.9061	193.439	22.4573	188.743
10.0694	6.66112	7.08943	0.432973	38.9965	195.97	21.9745	187.544
9.97928	5.9617	7.07185	0.399667	37.8443	194.904	21.3828	187.41
9.89725	6.39467	7.05552	0.29975	36.6573	190.674	20.8411	184.946
9.8058	5.69525	7.03768	0.366361	35.6921	194.638	20.4509	186.478
9.71404	4.46295	7.01204	0.266445	34.748	191.44	20.0794	183.813
9.63899	4.69609	6.98481	0.366361	33.7967	190.241	19.5551	184.18
9.55787	4.99584	6.96954	0.366361	32.8214	189.309	19.1509	181.415
9.46603	4.1632	6.94839	0.199833	31.86	191.041	18.8893	181.682
9.39921	3.597	6.91703	0.333056	31.0098	188.876	18.4559	180.516
9.32854	4.36303	6.8975	0.166528	30.3034	190.175	18.0511	183.314
9.23022	3.63031	6.87658	0.366361	29.6092	192.007	17.7655	181.815
9.15271	3.73022	6.85342	0.466278	28.9083	187.644	17.3826	179.917
9.08545	2.86428	6.82772	0.532889	28.186	190.275	17.012	178.285
8.99827	3.597	6.80175	0.0999167	27.4261	187.077	16.7195	180.35
8.91514	3.13072	6.77798	0.199833	26.9061	186.644	16.4445	177.985
8.84415	2.79767	6.75392	0.266445	26.3543	190.008	16.1994	179.151
8.76889	2.93089	6.7395	0.199833	25.588	186.445	15.8633	178.485
8.69371	2.76436	6.7264	0.266445	25.0005	187.311	15.6003	178.851
8.62503	2.23147	6.69041	0.133222	24.5673	188.21	15.4418	175.187
8.5603	2.23147	6.66234	0.0999167	24.0532	185.912	15.1819	177.452
8.49602	1.69858	6.64948	0.0999167	23.4852	184.28	14.8783	173.122
8.42041	1.83181	6.62481	0.199833	23.0638	183.347	14.6773	173.022
8.34677	1.69858	6.60026	0.0999167	22.5975	185.079	14.5203	173.888
8.29071	1.199	6.57481	0.0999167	22.0992	184.08	14.2435	172.023
8.23342	2.16486	6.54944	0.133222	21.6835	186.211	13.9959	172.723
8.16575	1.53206	6.53347	0.0999167	21.2355	181.249	13.8672	171.757
8.10019	1.09908	6.51398	0.0999167	20.8806	183.58	13.6624	167.927
8.05302	1.03247	6.49007	0.0666112	20.5496	184.646	13.3978	169.692
8.00042	1.23231	6.4703	0.0666112	20.1779	179.983	13.2448	167.66
7.93335	1.56536	6.4523	0.0999167	19.8216	182.515	13.1255	167.261
7.87256	1.199	6.42946	0.0333056	19.4106	180.283	12.8775	166.062
7.82193	1.03247	6.40546	0	18.9397	181.282	12.6779	166.694
7.76943	0.632806	6.38743	0.0666112	18.5194	181.382	12.5791	165.629
7.71749	0.832639	6.37016	0.0999167	18.2635	178.784	12.4257	163.997
7.67101	0.799334	6.34954	0.0666112	18.0411	177.519	12.2966	163.031
7.61989	0.766028	6.33256	0.0333056	17.7685	178.251	12.1206	162.998
7.56966	0.699417	6.31347	0	17.4638	179.217	12.0084	161.032
7.53068	0.566195	6.29329	0	17.1438	175.054	11.9391	160.067
7.48026	0.466278	6.28104	0.0333056	16.8707	176.12	11.7613	161.665
7.4297	0.499584	6.26937	0.0333056	16.6111	177.552	11.5966	162.165
7.39291	0.499584	6.25005	0.0333056	16.3421	176.253	11.4869	159.167
7.34688	0.199833	6.22896	0	16.1181	175.687	11.4468	160.566
7.30562	0.466278	6.20952	0	15.9087	175.087	11.3663	159.234
7.26865	0.366361	6.20142	0	15.6166	172.723	11.171	156.203
7.22534	0.566195	6.18758	0.0333056	15.3495	172.956	11.0438	156.57
7.18716	0.366361	6.16893	0.0333056	15.1818	172.856	10.946	152.173
7.15107	0.432973	6.15885	0	15.0092	170.958	10.8278	151.64
7.11548	0.366361	6.14547	0	14.8558	171.657	10.6998	152.739
7.07707	0.233139	6.12636	0.0333056	14.6124	169.958	10.6086	153.272
7.04121	0.366361	6.11087	0	14.3453	169.292	10.5396	152.639
7.00812	0.466278	6.09754	0	14.2282	170.558	10.4879	151.807
6.98053	0.266445	6.08567	0	14.0596	171.124	10.4286	149.942
6.94662	0.166528	6.07266	0	13.7965	168.859	10.3118	149.109
6.91069	0.133222	6.06267	0.0333056	13.6153	167.094	10.1885	148.709
6.88548	0.233139	6.05281	0	13.445	166.761	10.1098	147.211
6.85547	0.133222	6.03581	0	13.2225	168.693	10.0693	144.58
6.82034	0.133222	6.02059	0.0333056	13.0957	166.395	9.9907	148.776
6.79115	0.199833	6.00995	0	13.0145	166.062	9.85638	144.18
6.76489	0.233139	6.00123	0	12.8533	165.828	9.75815	141.415
6.74066	0.133222	5.9898	0	12.6348	165.162	9.72571	142.881
6.71022	0.0999167	5.97814	0	12.4392	166.062	9.67981	140.283
6.68166	0.133222	5.96761	0	12.3688	165.262	9.58303	138.951
6.6538	0.0666112	5.9583	0	12.3076	162.931	9.4762	141.449
6.62314	0.166528	5.95177	0	12.1457	164.463	9.44779	139.95
6.60677	0.133222	5.94134	0	11.9602	161.499	9.42041	138.451
6.58708	0.0666112	5.9289	0.0666112	11.8358	163.364	9.35179	137.585
6.56014	0.0333056	5.92436	0.0333056	11.7538	162.631	9.30991	139.051
6.53792	0.0666112	5.91659	0	11.5868	162.764	9.27041	135.953
6.51681	0.0999167	5.90039	0	11.4763	163.064	9.19959	134.288
6.49188	0.0999167	5.8917	0.0333056	11.4065	158.634	9.14297	133.156
6.46844	0	5.88596	0	11.2907	160.2	9.06631	133.122
6.44535	0.133222	5.87843	0	11.1529	159.434	8.96145	131.857
6.42568	0	5.86657	0	10.9724	159.434	8.93877	127.261
6.41148	0.0333056	5.85772	0	10.8915	156.037	8.9225	129.759
6.39213	0.0333056	5.85128	0	10.8582	155.737	8.81714	130.891
6.36562	0.0999167	5.84217	0	10.7386	156.636	8.76308	125.662
6.34529	0.0333056	5.83609	0	10.5923	155.77	8.7688	127.061
6.32657	0	5.82822	0	10.4745	155.537	8.70154	124.763
6.30904	0.0333056	5.82072	0	10.3846	153.972	8.61627	123.863
6.29369	0.0666112	5.81437	0	10.3194	154.205	8.56802	126.128
6.27845	0.0333056	5.80534	0	10.2381	152.107	8.55275	123.797
6.26026	0.0333056	5.79655	0	10.1263	154.172	8.51232	121.199
6.2416	0.0666112	5.78847	0	10.0348	149.376	8.45291	122.864
6.22407	0	5.78401	0	9.97331	150.874	8.44064	119.967
6.20606	0	5.7796	0	9.84034	149.442	8.43252	119.467
6.19309	0	5.76932	0	9.74747	149.875	8.34998	120
6.17863	0.0333056	5.76346	0	9.71412	148.11	8.28681	117.102
6.16301	0.0333056	5.76036	0	9.61333	146.578	8.28344	116.636
6.1516	0	5.75359	0	9.52979	147.41	8.24626	117.469
6.13875	0.0333056	5.74753	0	9.48656	146.078	8.18348	115.071
6.11973	0.0333056	5.74345	0	9.38884	148.077	8.15642	113.639
6.10849	0	5.73824	0	9.3114	144.446	8.15033	115.77
6.09508	0.0333056	5.73465	0	9.3284	143.847	8.10535	112.773
6.07871	0.0333056	5.7252	0	9.2697	144.313	8.079	110.508
6.06522	0.0333056	5.71409	0	9.12064	141.216	8.04902	111.774
6.05173	0.0333056	5.71245	0	9.04611	139.65	7.96111	110.308
6.04092	0	5.71142	0	9.00343	141.049	7.9218	108.876
6.03012	0	5.7041	0	8.89697	139.917	7.92751	106.644
6.01407	0.0333056	5.69476	0	8.85583	137.419	7.88549	106.012
6.00408	0.0333056	5.69219	0	8.85387	139.351	7.82723	108.077
5.99554	0	5.69076	0	8.73659	139.55	7.80226	104.779
5.98194	0	5.68367	0	8.638	138.018	7.8047	106.211
5.9705	0	5.67483	0	8.64925	136.087	7.79751	103.813
5.96088	0	5.67366	0	8.61678	132.656	7.75838	102.948
5.94782	0	5.66984	0	8.54095	137.752	7.72007	104.013
5.93719	0	5.66399	0	8.49284	133.389	7.69829	102.515
5.9267	0.0333056	5.65827	0	8.44776	132.856	7.68216	101.016
5.91654	0.0333056	5.65121	0	8.39265	130.991	7.64945	98.851
5.90384	0	5.64651	0	8.34656	129.792	7.58283	100.183
5.89694	0.0333056	5.64638	0	8.30225	130.991	7.54852	98.4846
